paper_id,title,authors,abstract,doi,year,venue,url,keyword,source_file,source_repos,abstract_quality,format_excluded,scope_excluded,c2,c3,fulltext_flag,c2_and_c3,disposition,advances_to_fulltext,primary_reason,val_reason,pdf_found,pdf_extract_method,full_text_chars,paragraph_count,matched_paragraph_count,discussion_found,discussion_paragraph_count,extraction_terms,keyword_conditioned_paragraph_count,focus_keyword,embedding_model,text_view,cluster_method,cluster,cluster_theme_terms,umap_x,umap_y,distance_to_centroid,representative_rank,is_representative_top3,medoid_rank,lda_topic,lda_topic_probability,lda_topic_words,cluster_label_candidate,cluster_summary_candidate,facet_population_or_context,facet_stakeholder_or_population,facet_method_or_lens,facet_artifact_or_domain,facet_contribution_or_outcome,nearest_papers
4ac74ce3f335,Towards a framework for documentation design: an abstract model of computer-mediated activity,"van Loggem, Brigit","An abstract model is developed of ""computer-mediated activity"" or CMA. The CMA model is based on the existing literature and describes how people interact with software to fulfil an intention and how, over time, they may achieve full mastery of the software. Academic studies related to the design of user documentation for software are sparse, and no underlying reference framework is available within which design rationale could be expressed. The CMA model is intended as a first step towards the development of such a framework. Its implications for documentation design are discussed and its application is illustrated by describing a number of well-known documentation formats in terms of the model.",10.1145/2501907.2501953,2013,Proceedings of the 31st European Conference on Cognitive Ergonomics,https://doi.org/10.1145/2501907.2501953,Design rationale,design_rationale.bib,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Develops an abstract CMA model from existing literature as a framework within which design rationale can be expressed, satisfying C2 and plausibly C3; flagged for full-text confirmation of the definitional contribution.","The title and abstract indicate extraction of architectural patterns from frameworks and modeling their quality contributions, which is a categorizing/synthesis activity around reusable design knowledge, but no explicit definition is visible in the abstract.",True,pdfplumber,29468,20,6,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,3,Design rationale,tfidf-svd,overall,kmeans,2,"software, rationale, approaches, documentation, cma, reflective, artifact, affinities",13.171586,8.7537775,0.20483255425964642,1,True,1,6,0.9960349781293611,"software, documentation, rationale, computer, conceptual, intended, mediated, underlying",Design Rationale / Software / Approaches,"This cluster focuses on Education / Learning, involving Designers, Developers, with recurring attention to Tool, with contribution types coded as Theoretical, Artifact/System, Methodological.",Education / Learning,"Designers, Developers",,Tool,"Theoretical, Artifact/System, Methodological","[{'paper_id': '296e021afe91', 'title': 'A generic model for reflective design', 'cluster': 2, 'distance': 0.7354174664695242}, {'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': 5, 'distance': 0.8321544533249001}, {'paper_id': '4567075d70b4', 'title': 'Making Argumentation Serve Design', 'cluster': 1, 'distance': 0.8485345495086433}, {'paper_id': 'edde6dc75b19', 'title': 'The language of design: Theory and computation', 'cluster': 5, 'distance': 0.866041146310181}, {'paper_id': '7a42dd52852e', 'title': ""What's in design rationale?"", 'cluster': 5, 'distance': 0.8843607138784383}]"
12568f76ff90,Patterns or claims: do they help in communicating design advice?,"Abraham, George and Atwood, Michael E.","Past research asserts that patterns or claims will help capture and communicate interaction-design advice. Both structures attempt to provide advice in context along with the justifications for fit. These properties aim to make patterns or claims more concrete and comprehensible to novice designers than design guidelines. However, empirical work evaluating these promises is lacking. This research presents a controlled study that examines the value of structuring design advice as patterns or as claims. Patterns and claims seem different given their respective roots in architecture and design rationale. They also differ in their emphasis when capturing design decisions; patterns emphasize capturing a problem-solution pair in a certain context, whereas claims focus on capturing the positive and negative implications to a design decision. The findings from the study suggest it may be promising to combine the claim and pattern structures and that such a structure may facilitate discussions of design trade-offs.",10.1145/1738826.1738831,2009,Proceedings of the 21st Annual Conference of the Australian Computer-Human Interaction Special Interest Group: Design: Open 24/7,https://doi.org/10.1145/1738826.1738831,Design rationale,design_rationale.bib,acm|engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Empirically compares patterns versus claims as structures for communicating design advice, treating these design-knowledge constructs as the topic of study and distinguishing them from guidelines, plausibly satisfying C2/C3.","It empirically studies patterns and claims as forms of interaction-design advice, treating design-knowledge constructs as the topic, but the abstract does not clearly indicate a literature synthesis or explicit definition.",True,pdfplumber,32238,22,10,True,3,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,3,Design rationale,tfidf-svd,overall,kmeans,3,"claims, advice, patterns, solution, communicating, rationale, negative, comprehensible",13.582029,9.343374,0.1340871967431172,1,True,1,9,0.9968963268210905,"claims, patterns, solution, rationale, problem, communicating, structure, present",Claims / Advice / Designers,"This cluster focuses on claims, advice, involving Designers, with recurring attention to Interface, with contribution types coded as Theoretical, Artifact/System, Methodological.",,Designers,,Interface,"Theoretical, Artifact/System, Methodological","[{'paper_id': '24bfa2182839', 'title': 'Designing claims for reuse in interactive systems design', 'cluster': 3, 'distance': 0.5003900343116137}, {'paper_id': '296e021afe91', 'title': 'A generic model for reflective design', 'cluster': 2, 'distance': 0.8162734236042515}, {'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': 5, 'distance': 0.8824127357049281}, {'paper_id': 'ab97fa9e6ec7', 'title': '""Argumentative Design Rationale and the Object-Oriented Development Process: better analysis, better design""', 'cluster': 0, 'distance': 0.9098584493078351}, {'paper_id': '19c286f4e44f', 'title': 'Scientific design rationale', 'cluster': 1, 'distance': 0.9120734647046187}]"
296e021afe91,A generic model for reflective design,"Louridas, Panagiotis and Loucopoulos, Pericles","Rapid technological change has had an impact on the nature of software. This has led to new exigencies and to demands for software engineering paradigms that pay particular atttention to meeting them. We advocate that such demands can be met, at least in large parts, through the adoption of software engineering processes that are founded on a reflective stance. To this end, we turn our attention to the field of Design Rationale. We analyze and characterize Design Rationale approaches and show that despite surface differences between different approaches, they all tend to be variants of a relatively small set of static and dynamic affinities. We use the synthesis of static and dynamic affinities to develop a generic model for reflective design. The model is nonprescriptive and affects minimally the design process. It is context-independent and is intended to be used as a facilitator in participative design, supporting group communication and deliberation. The potential utility of the model is demonstrated through two examples, one from the world of business design and the other from programming language design",10.1145/350887.350895,2000,ACM Trans. Softw. Eng. Methodol.,https://doi.org/10.1145/350887.350895,Design rationale,design_rationale.bib,acm|engineering_village,full,False,False,True,True,False,True,advance_criteria,True,Analyzes and characterizes Design Rationale approaches from prior work (C2) and proposes a generic model defining the construct for reflective design (C3).,"Analyzes and characterizes design rationale approaches to propose a generic reflective design model, indicating synthesis of a design-knowledge construct, but whether it explicitly defines or adapts that construct is unclear from the abstract alone.",True,pdfplumber,82222,61,10,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,8,Design rationale,tfidf-svd,overall,kmeans,2,"software, rationale, approaches, documentation, cma, reflective, artifact, affinities",12.526887,8.734147,0.20483255425964642,2,True,2,8,0.8463111737587912,"rationale, approaches, artifact, engineering, capture, argumentation, communication, section",Design Rationale / Software / Approaches,"This cluster focuses on Education / Learning, involving Designers, Developers, with recurring attention to Tool, with contribution types coded as Theoretical, Artifact/System, Methodological.",Education / Learning,"Designers, Developers",,Tool,"Theoretical, Artifact/System, Methodological","[{'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': 5, 'distance': 0.7098772522012868}, {'paper_id': 'a60240423604', 'title': 'Reviewing the state-of-the-art design rationale definitions, representations and capabilities', 'cluster': 1, 'distance': 0.7186680603766235}, {'paper_id': '4ac74ce3f335', 'title': 'Towards a framework for documentation design: an abstract model of computer-mediated activity', 'cluster': 2, 'distance': 0.7354174664695242}, {'paper_id': '7a42dd52852e', 'title': ""What's in design rationale?"", 'cluster': 5, 'distance': 0.7898448244511846}, {'paper_id': '4567075d70b4', 'title': 'Making Argumentation Serve Design', 'cluster': 1, 'distance': 0.7967547618885785}]"
75731fe2e6d1,"Feature, specification and evidence framework for communicating design rationale","Mirabito, Y. (1); Tchatchouang Kayo, M.A. (2); Goucher-Lambert, K. (1)","Design rationale is the justification behind a product component, often captured via written reports and oral presentations. Research shows that the structure and information used to communicate and document rationale significantly influence human behavior. To better understand the influence of design rationale on engineering design, we investigate the information engineers and designers include in design rationales in written reports. Eight hundred and forty-six pages of student engineering design reports from 28 teams representing 116 individuals were analyzed using a mixed-methods approach and compared across project types. The rationales from the reports were coded inductively into concepts and later applied to five industry reports consisting of 218 pages. The findings reveal a spectrum of rationales underpinning design decisions. Grounded in the data, the feature, specification and evidence (FSE) framework emerged as a feature-based and low-effort capture approach. We discuss the need to improve design communication in engineering design, through structuring rationales (i.e., using the proposed FSE framework or other representations) and improving technical writing skills. Lastly, by enhancing design rationale communication and documentation practices, significant benefits can be realized for computational support tools such as automatic rationale extraction or generative approaches.",10.1017/dsj.2024.19,,Design Science,,Design rationale,design_rationale.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Investigates and proposes a framework for the information in design rationales and defines design rationale, treating the construct as the topic of study; flagged to confirm definitional framing.","Proposes a structured method for analyzing errors in design rationale to support robust artifact design; design rationale is central, but the abstract does not clearly indicate synthesis from prior literature or an explicit definition beyond background.",True,pdfplumber,66118,48,10,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,6,Design rationale,tfidf-svd,overall,kmeans,5,"language, rationales, representations, computational, book, reports, fse, texts",12.733981,8.185757,0.2963863956571343,1,True,1,2,0.9967150435707485,"rationale, representations, capture, engineering, feature, focus, product, communicating",Design Rationale / Language / Representations,"This cluster focuses on Education / Learning, involving Designers, Practitioners, Families, using Case Study as the main methodological or conceptual lens, with recurring attention to Interface, Tool, with contribution types coded as Theoretical, Methodological, Artifact/System.",Education / Learning,"Designers, Practitioners, Families",Case Study,"Interface, Tool","Theoretical, Methodological, Artifact/System","[{'paper_id': '16b7f7939f93', 'title': 'Characterizing Design Rationales Using Computational Linguistics and Human Evaluations', 'cluster': 5, 'distance': 0.5857284270923271}, {'paper_id': '7a42dd52852e', 'title': ""What's in design rationale?"", 'cluster': 5, 'distance': 0.6813237144191071}, {'paper_id': '296e021afe91', 'title': 'A generic model for reflective design', 'cluster': 2, 'distance': 0.7098772522012868}, {'paper_id': '19c286f4e44f', 'title': 'Scientific design rationale', 'cluster': 1, 'distance': 0.7468168359204155}, {'paper_id': 'a60240423604', 'title': 'Reviewing the state-of-the-art design rationale definitions, representations and capabilities', 'cluster': 1, 'distance': 0.7724563207353592}]"
a60240423604,"Reviewing the state-of-the-art design rationale definitions, representations and capabilities","Sagoo, J. (1); Tiwari, A. (1); Alcock, J. (1)","This paper aims to identify how researchers have defined the concept of design rationale, report on the state-of-the-art design rationale representations and categorise the capabilities that design rationale currently has to offer. To guide this review of the literature, three research questions have been posed each addressing the specified aims of this paper. Design rationale is inherently linked to the explanation of a set of reasons or a logical basis for a course of action in the generic context of design. New methods for representing design rationale have been developed since year 2000, many extending the seminal issue-based information system method. There are 13 categories of design rationale capabilities that have been identified in this review.",10.1504/IJDE.2014.062377,,International Journal of Design Engineering,,Design rationale,design_rationale.csv,engineering_village,full,False,False,True,True,False,True,advance_criteria,True,"Explicitly reviews how researchers define design rationale and categorizes its representations and capabilities from prior literature, satisfying both C2 and C3.","This is explicitly a literature review that identifies definitions, reviews representations, and categorizes capabilities of design rationale, and it also states a definition of the concept in the abstract.",False,,0,0,0,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,0,Design rationale,tfidf-svd,overall,kmeans,1,"rationale, capabilities, integrated, acquisition, answers questions, linked, state art, sciences",12.275604,8.13244,0.3728545252442024,1,True,1,2,0.8106264643664037,"rationale, representations, capture, engineering, feature, focus, product, communicating",Design Rationale / Answers Questions / State Art,"This cluster focuses on rationale, capabilities, with contribution types coded as Theoretical, Methodological, Artifact/System.",,,,,"Theoretical, Methodological, Artifact/System","[{'paper_id': '296e021afe91', 'title': 'A generic model for reflective design', 'cluster': 2, 'distance': 0.7186680603766235}, {'paper_id': '7a42dd52852e', 'title': ""What's in design rationale?"", 'cluster': 5, 'distance': 0.7402099855702168}, {'paper_id': '19c286f4e44f', 'title': 'Scientific design rationale', 'cluster': 1, 'distance': 0.7618786686234684}, {'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': 5, 'distance': 0.7724563207353592}, {'paper_id': 'd5d39efbe945', 'title': 'Method rationale in method engineering', 'cluster': 1, 'distance': 0.7928105509484826}]"
19c286f4e44f,Scientific design rationale,"Haynes, Steven R. (1, 2); Bach, Paula M. (1); Carroll, John M. (1)","Design rationale should be regarded both as a tool for the practice of design, and as a method to enable the science of design. Design rationale answers questions about why a given design takes the form that it does. Answers to these why questions represent a significant portion of the knowledge generated from design research. This knowledge, along with that from empirical studies of designs in use, contributes to what Simon called the sciences of the artificial. Most research on the nature and use of design rationale has been analytic or theoretical. In this article, we describe an empirical study of the roles that design rationale can play in the conduct of design research. We report results from an interview study with 16 design researchers investigating how they construe and carry out design as research. The results include an integrated framework of the affordances design rationale can contribute to design research. The framework and supporting qualitative data provide insight into how design rationale might be more effectively leveraged as a first-class methodology for research into the creation and use of artifacts. Copyright © 2008 Cambridge University Press.",10.1017/S0890060408000243,2008,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",,Design rationale,design_rationale.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Treats design rationale as the object of study, discussing it as knowledge from design research and likely defining it, satisfying C2 and plausibly C3.","Focuses on design rationale as a knowledge-generating concept and reports empirical work, but the abstract does not clearly show a synthesis from prior literature or an explicit definition, so full text is needed.",False,,0,0,0,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,0,Design rationale,tfidf-svd,overall,kmeans,1,"rationale, capabilities, integrated, acquisition, answers questions, linked, state art, sciences",12.481577,7.6233015,0.382688581369667,2,True,2,8,0.9857124066322598,"rationale, approaches, artifact, engineering, capture, argumentation, communication, section",Design Rationale / Answers Questions / State Art,"This cluster focuses on rationale, capabilities, with contribution types coded as Theoretical, Methodological, Artifact/System.",,,,,"Theoretical, Methodological, Artifact/System","[{'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': 5, 'distance': 0.7468168359204155}, {'paper_id': 'a60240423604', 'title': 'Reviewing the state-of-the-art design rationale definitions, representations and capabilities', 'cluster': 1, 'distance': 0.7618786686234684}, {'paper_id': '0050f73e4373', 'title': 'Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication', 'cluster': 4, 'distance': 0.769082568036072}, {'paper_id': '7a42dd52852e', 'title': ""What's in design rationale?"", 'cluster': 5, 'distance': 0.7826330493116718}, {'paper_id': '4567075d70b4', 'title': 'Making Argumentation Serve Design', 'cluster': 1, 'distance': 0.7865496955045863}]"
40034332988c,Redesigning the rationale for design rationale,"Atwood, Michael E. (1); Horner, John (1)","One goal of design rationale systems is to support designers by providing a means to record and communicate the argumentation and reasoning behind the design process. However, there are several inherent limitations to developing systems that effectively capture and utilize design rationale. The dynamic and contextual nature of design and our inability to exhaustively analyze all possible design issues results in cognitive, capture, retrieval, and usage limitations. In addition, there are the organizational limitations that ensue when systems are deployed. In this paper we analyze the essential problems that prevent the successful development and use of design rationale systems. We argue that useful and effective design rationale systems cannot be built unless we carefully redefine the goal of design rationale systems. © Springer-Verlag Berlin Heidelberg 2007.",10.1007/978-3-540-73105-4_2,2007,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,Design rationale,design_rationale.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Analyzes essential limitations of design rationale systems as its topic and likely characterizes/defines design rationale, satisfying C2 and plausibly C3, but full text needed to confirm definition.","Analyzes essential limitations of design rationale systems and the contextual nature of design rationale as the topic of study, suggesting a conceptual synthesis/categorization, but the abstract does not clearly state an explicit definition.",False,,0,0,0,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,0,Design rationale,tfidf-svd,overall,kmeans,6,"rationale, limitations, notes, goal, analyze, lecture, redesigning, redefine",11.169319,7.6612988,0.025560699541149368,1,True,1,4,0.958169213981115,"rationale, limitations, capture, goal, analyze, lecture, issues, built",Design Rationale / Limitations / Notes,"This cluster focuses on rationale, limitations, involving Designers, with contribution types coded as Theoretical.",,Designers,,,Theoretical,"[{'paper_id': '9378ab34b041', 'title': 'Redesigning the rationale for design rationale', 'cluster': 6, 'distance': 0.10093609944253201}, {'paper_id': '19c286f4e44f', 'title': 'Scientific design rationale', 'cluster': 1, 'distance': 0.8142675958288834}, {'paper_id': '296e021afe91', 'title': 'A generic model for reflective design', 'cluster': 2, 'distance': 0.8349456839764087}, {'paper_id': '4567075d70b4', 'title': 'Making Argumentation Serve Design', 'cluster': 1, 'distance': 0.8601022744878692}, {'paper_id': 'e875047efc35', 'title': 'Design rationale capture as knowledge acquisition: tradeoffs in the design of interactive tools', 'cluster': 1, 'distance': 0.8714126408207097}]"
9378ab34b041,Redesigning the rationale for design rationale,"Atwood, M.E. (1); Horner, J. (1)","One goal of design rationale systems is to support designers by providing a means to record and communicate the argumentation and reasoning behind the design process. However, there are several inherent limitations to developing systems that effectively capture and utilize design rationale. The dynamic and contextual nature of design and our inability to exhaustively analyze all possible design issues results in cognitive, capture, retrieval, and usage limitations. In addition, there are the organizational limitations that ensue when systems are deployed. In this paper we analyze the essential problems that prevent the successful development and use of design rationale systems. We argue that useful and effective design rationale systems cannot be built unless we carefully redefine the goal of design rationale systems.",,,"Human-Computer Interaction - Interaction Design and Usability. Proceedings 12th International Conference, HCI International 2007",,Design rationale,design_rationale.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Duplicate of prior entry; analyzes limitations of design rationale as topic and likely characterizes/defines it, satisfying C2 and plausibly C3, flagged for full-text confirmation.","Analyzes essential limitations of design rationale systems and the contextual nature of design rationale as the topic of study, suggesting a conceptual synthesis/categorization, but the abstract does not clearly state an explicit definition.",False,,0,0,0,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,0,Design rationale,tfidf-svd,overall,kmeans,6,"rationale, limitations, notes, goal, analyze, lecture, redesigning, redefine",11.391261,8.188436,0.025560699541149368,2,True,2,4,0.9744108081874058,"rationale, limitations, capture, goal, analyze, lecture, issues, built",Design Rationale / Limitations / Notes,"This cluster focuses on rationale, limitations, involving Designers, with contribution types coded as Theoretical.",,Designers,,,Theoretical,"[{'paper_id': '40034332988c', 'title': 'Redesigning the rationale for design rationale', 'cluster': 6, 'distance': 0.10093609944253201}, {'paper_id': '296e021afe91', 'title': 'A generic model for reflective design', 'cluster': 2, 'distance': 0.8284564435866965}, {'paper_id': '19c286f4e44f', 'title': 'Scientific design rationale', 'cluster': 1, 'distance': 0.8458939386654527}, {'paper_id': '7a42dd52852e', 'title': ""What's in design rationale?"", 'cluster': 5, 'distance': 0.8468974048695009}, {'paper_id': 'e875047efc35', 'title': 'Design rationale capture as knowledge acquisition: tradeoffs in the design of interactive tools', 'cluster': 1, 'distance': 0.8496010692934884}]"
16b7f7939f93,Characterizing Design Rationales Using Computational Linguistics and Human Evaluations,"Mirabito, Yakira (1); Liu, Xiaowen (2); Goucher-Lambert, Kosa (1)","Design rationales capture the explicit justifications behind design decisions. Often, rationales vary in the content and depth of information, making the study and comparison of rationales challenging. This project aims to characterize design rationales and develop a standardized approach to assess design rationale quality at scale. In total, 2250 rationales were machine-generated across two different representations and evaluated by two raters across five dimensions of quality. Rationales were then characterized using natural language processing techniques, resulting in 108 linguistic features for each rationale. The linguistic features were used to build predictive models for each quality dimension. The main results identify correlations between linguistic features and human evaluations, show that structured rationales were rated higher than unstructured rationales across the five dimensions, and present a model to predict rationale quality for new texts. These findings help inform strategies to improve human- and machine-generated rationales. The predictive tool offers a scalable method for evaluating different representations of rationale, thereby supporting more effective documentation practices. © 2025 by ASME.",10.1115/1.4069232,2025,Journal of Mechanical Design,,Design rationale,design_rationale.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Characterizes design rationales and develops a standardized approach to assess their quality, treating the construct as the object of study and likely defining/operationalizing rationale dimensions; flagged to confirm C2/C3 in full text.","Evaluates the usefulness of a design rationale system in practice; design rationale is central, but the abstract does not confirm synthesis from prior work or an explicit definition, so full text is needed.",False,,0,0,0,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,0,Design rationale,tfidf-svd,overall,kmeans,5,"language, rationales, representations, computational, book, reports, fse, texts",13.311328,8.049082,0.31025012415774667,2,True,2,2,0.9894100373002516,"rationale, representations, capture, engineering, feature, focus, product, communicating",Design Rationale / Language / Representations,"This cluster focuses on Education / Learning, involving Designers, Practitioners, Families, using Case Study as the main methodological or conceptual lens, with recurring attention to Interface, Tool, with contribution types coded as Theoretical, Methodological, Artifact/System.",Education / Learning,"Designers, Practitioners, Families",Case Study,"Interface, Tool","Theoretical, Methodological, Artifact/System","[{'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': 5, 'distance': 0.5857284270923271}, {'paper_id': '7a42dd52852e', 'title': ""What's in design rationale?"", 'cluster': 5, 'distance': 0.7627194734461924}, {'paper_id': 'edde6dc75b19', 'title': 'The language of design: Theory and computation', 'cluster': 5, 'distance': 0.8475468878191359}, {'paper_id': 'e875047efc35', 'title': 'Design rationale capture as knowledge acquisition: tradeoffs in the design of interactive tools', 'cluster': 1, 'distance': 0.8643636482069319}, {'paper_id': 'a60240423604', 'title': 'Reviewing the state-of-the-art design rationale definitions, representations and capabilities', 'cluster': 1, 'distance': 0.8701345482467636}]"
0050f73e4373,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,"Shipman III, Frank M. (1); McCall, Raymond J. (1)","Design rationale is a topic that implies different things to different people. To some it implies argumentation and frameworks for argumentation. To others it implies the documentation of design, like that required for many types of industrial or government work. Still others describe design rationale as the capture and potential reuse of nodal communication about design. These perspectives of design rationale use different representations, which influence their ability to capture and to retrieve and use information. We propose an integrated approach to design rationale where design communication is captured and, over time, incrementally structured into argumentation and other formalisms to enable improved retrieval and use of this information. Two systems, PHIDIAS and the Hyper-Object Substrate, are used to demonstrate: (1) how to capture and integrate a variety of design information, (2) how to support the structuring of unstructured information, and (3) how to use design information to actively support design.",,1997,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",,Design rationale,design_rationale.csv,engineering_village,full,False,False,True,True,True,True,advance_criteria,True,"Explicitly synthesizes differing perspectives on design rationale and proposes an integrated definitional approach, satisfying C2 and likely C3 about the construct of design rationale.","The paper treats design rationale as the topic and mentions integrating multiple perspectives, but the abstract does not clearly show a synthesis from prior literature or an explicit definition, so full text is needed.",False,,0,0,0,False,0,design knowledge; design expertise; design rationale; design pattern; design patterns; design principle; design principles; design guideline; design guidelines; design heuristic; design heuristics; design procedure; design procedures; design rule; design rules; design framework; design frameworks; design method; design methods; design theory,0,Design rationale,tfidf-svd,overall,kmeans,4,"implies, rationale, perspectives, argumentation, communication, things, documentation like required, topic",11.571581,7.015964,0.0002365799134835811,1,True,1,8,0.9932832666538792,"rationale, approaches, artifact, engineering, capture, argumentation, communication, section",Design Rationale / Documentation Like Required / Implies,"This cluster focuses on implies, rationale, with contribution types coded as Theoretical.",,,,,Theoretical,"[{'paper_id': '4c8bdfbd1309', 'title': 'Integrating different perspectives on design rationale: supporting the emergence of design rationale from design communication', 'cluster': 4, 'distance': 0.000946207713823366}, {'paper_id': '19c286f4e44f', 'title': 'Scientific design rationale', 'cluster': 1, 'distance': 0.769082568036072}, {'paper_id': '4567075d70b4', 'title': 'Making Argumentation Serve Design', 'cluster': 1, 'distance': 0.8067093313688518}, {'paper_id': '75731fe2e6d1', 'title': 'Feature, specification and evidence framework for communicating design rationale', 'cluster': 5, 'distance': 0.8299606474466976}, {'paper_id': 'e875047efc35', 'title': 'Design rationale capture as knowledge acquisition: tradeoffs in the design of interactive tools', 'cluster': 1, 'distance': 0.8448209381380138}]"
