paper_id,keyword,title,authors,year,venue,doi,url,cluster,cluster_label_candidate,distinguishing_evidence_terms,cluster_summary_candidate,distance_to_centroid,representative_rank,is_representative_top3,umap_x,umap_y
0050f73e4373,Design rationale,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,"Shipman III, Frank M. (1); McCall, Raymond J. (1)",1997,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",,,0,Knowledge · Theory · Research,"knowledge, theory, research, design theory, design knowledge, principles","This exploratory cluster contains 203 papers. Frequent terms include knowledge, theory, research, design theory, design knowledge, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Conceptual foundations of design problem solving.",0.1158912181854248,39,False,-2.7253692,0.13314489
00781ed0e844,Design theory,Cognitive Point of View in Recursive Design,Evan Barba,2019,"She Ji: The Journal of Design, Economics and Innovation",,https://www.semanticscholar.org/paper/cd9c2c3812ad8a7feccea4741cea6b98dd33a007,0,Knowledge · Theory · Research,"knowledge, theory, research, design theory, design knowledge, principles","This exploratory cluster contains 203 papers. Frequent terms include knowledge, theory, research, design theory, design knowledge, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Conceptual foundations of design problem solving.",0.12952250242233276,62,False,-1.8658673,0.47396678
00d7fbafe65f,Design Guidelines,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines","Son, Kihoon and Choi, DaEun and Kim, Tae Soo and Kim, Juho",2024,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,10.1145/3613904.3642886,https://doi.org/10.1145/3613904.3642886,0,Knowledge · Theory · Research,"knowledge, theory, research, design theory, design knowledge, principles","This exploratory cluster contains 203 papers. Frequent terms include knowledge, theory, research, design theory, design knowledge, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Conceptual foundations of design problem solving.",0.16187143325805664,122,False,-0.90105015,-1.5046167
00e42ae113b8,Design knowledge,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Petra H. M. Cremers; A. Wals; R. Wesselink; M. Mulder,2016,Instructional Science,,https://www.semanticscholar.org/paper/c789600c7369bddaf982676630fa98befecacde6,0,Knowledge · Theory · Research,"knowledge, theory, research, design theory, design knowledge, principles","This exploratory cluster contains 203 papers. Frequent terms include knowledge, theory, research, design theory, design knowledge, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Conceptual foundations of design problem solving.",0.14983582496643066,101,False,-1.8889623,2.8952813
01467836cecf,Design principles,Design principles for human-computer interfaces,"Norman, Donald A.",1983,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,10.1145/800045.801571,https://doi.org/10.1145/800045.801571,1,Patterns · Pattern · Design Patterns,"patterns, pattern, design patterns, ai, software, user","This exploratory cluster contains 79 papers. Frequent terms include patterns, pattern, design patterns, ai, software, user. Representative papers include Industrial experience with design patterns; A pattern approach to interaction design; “Modeling-by-Patterns” of Web applications.",0.13784897327423096,26,False,-0.10017848,1.7381356
0176348439b8,Design Guidelines,A Comparative Study of Chinese and American Rural Design Guidelines,D. Chu; R. Li,2019,International Journal of Structural and Civil Engineering Research,,https://www.semanticscholar.org/paper/af67c18e22e351362a73fa3cb1d997e238f8c3d7,0,Knowledge · Theory · Research,"knowledge, theory, research, design theory, design knowledge, principles","This exploratory cluster contains 203 papers. Frequent terms include knowledge, theory, research, design theory, design knowledge, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Conceptual foundations of design problem solving.",0.2753494381904602,201,False,-0.14123315,-0.46601787
022ee7cf2e4e,Design Heuristics,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,"Kremer, Gerald (1); Peters, Ina (1); Bingoel, Berkay (1); Stark, Rainer (1)",2022,"Proceedings of the 33rd Symposium Design for X, DFX 2022",10.35199/dfx2022.08,,0,Knowledge · Theory · Research,"knowledge, theory, research, design theory, design knowledge, principles","This exploratory cluster contains 203 papers. Frequent terms include knowledge, theory, research, design theory, design knowledge, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Conceptual foundations of design problem solving.",0.12736928462982178,60,False,1.7804842,-0.5131403
02381ea80183,Design knowledge,A design theory for data quality tools in data ecosystems: Findings from three industry cases,"Altendeitering, M. (1, 2); Guggenberger, T.M. (1, 2); MoÃàller, F. (1, 3)",,Data & Knowledge Engineering,10.1016/j.datak.2024.102333,,0,Knowledge · Theory · Research,"knowledge, theory, research, design theory, design knowledge, principles","This exploratory cluster contains 203 papers. Frequent terms include knowledge, theory, research, design theory, design knowledge, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Conceptual foundations of design problem solving.",0.19185864925384521,168,False,0.09528064,0.4056851
02f3ae017acb,Design theory,Design Theory and Method of Complex Products: A Review,Chan Qiu; Jianrong Tan; Zhen-yu Liu; Haoyang Mao; Weifei Hu,2022,Chinese Journal of Mechanical Engineering,,https://www.semanticscholar.org/paper/11b673bc049bd6075777c1697de805d195198e5b,0,Knowledge · Theory · Research,"knowledge, theory, research, design theory, design knowledge, principles","This exploratory cluster contains 203 papers. Frequent terms include knowledge, theory, research, design theory, design knowledge, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Conceptual foundations of design problem solving.",0.09874433279037476,14,False,-0.32382858,-1.7429653
03adadfa0ad4,Design knowledge,"Design Principles: Literature Review, Analysis, and Future Directions","Fu, K.K. (1); Yang, M.C. (2); Wood, K.L. (3)",,Journal of Mechanical Design,10.1115/1.4034105,,0,Knowledge · Theory · Research,"knowledge, theory, research, design theory, design knowledge, principles","This exploratory cluster contains 203 papers. Frequent terms include knowledge, theory, research, design theory, design knowledge, principles. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Conceptual foundations of design problem solving.",0.0842210054397583,2,True,-0.12889956,-0.52323616
